episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
51,731,10618.883329295544,40,23,0,100,10055.593847882576,15.578981250502936,0,0,1.0219682948418765,1.4082240283254206,0.957592339261286,0,0,0,81.03323408706848
52,722,10220.455749274144,40,21,0,100,11644.976546193562,17.53171016183117,0,0,1.1517713952471207,0.6925207756232687,1.2392477037469019,0,0,0,79.38474996355154
53,793,10210.389848096185,40,34,1,98,4658.7365636080585,7.12484237074401,0.5674653215636822,0,2.921395544346364,1.5342580916351407,0,0,0,0,87.8520386717108
54,722,10371.417877511225,40,26,0,100,7430.527194665325,9.180846853977048,0,0,0.8508112386228729,2.1171349426197072,1.2267510882469332,0,0,0,86.62445587653345
55,767,11707.695605576868,40,27,0,100,7809.1272141723975,11.252632634640458,0.06017450606759603,0,1.624711663825093,1.123257446595126,0.9327048440477383,0,0,0,85.00651890482399
56,716,10294.560707525625,40,22,0,100,10103.700423029093,8.488516449410303,0,0,0.27157045313469896,0.7138423339540658,0.8690254500310367,0,0,0,89.65704531346988
57,746,10899.354985868544,40,29,0,100,6037.667213998349,15.54959785522788,0.26809651474530827,0,0.8895929807457956,1.7791859614915913,0.9139653911771873,0,0,0,80.59956129661222
58,718,10235.542782404002,40,24,0,100,9095.8672463048,13.135445682451254,0,0,0.8095403899721446,0.7747214484679665,0.14798050139275765,0,0,0,85.13231197771589
59,837,13807.128725750661,40,31,0,100,5761.770317910277,9.611044736492765,0.0929244656843223,0,3.849727864064781,1.380592061595646,0.14602416036107793,0,0,0,84.9196867118014
60,733,10231.927022718499,40,31,0,100,5901.77931139806,21.676519630134912,1.9705926936486282,0,3.89571017128998,4.941640139457329,1.5764741549189025,0,0,0,65.93906321055026
61,724,10335.415365452049,40,26,0,100,8559.415506867004,10.694554064719808,0.019731649565903706,0,0.2959747434885556,1.4009471191791634,1.0753749013417522,0,0,0,86.51341752170481
62,724,10301.301402011995,40,25,0,100,8888.714289920717,16.71270718232044,0.036832412523020254,0,1.1602209944751385,0.9944751381215471,1.0405156537753224,0,0,0,80.05524861878453
63,715,10128.488106179491,40,20,0,100,12103.199875907558,13.48951048951049,0,0,0.9930069930069928,0.7622377622377623,0.5314685314685315,0,0,0,84.22377622377623
64,817,13040.302993357922,40,30,0,100,7091.587566278768,11.12607099143207,0.06119951040391677,0,4.883720930232558,0.9179926560587516,0.04895960832313341,0,0,0,82.96205630354957
65,719,10279.429218797057,40,26,0,100,7353.620656078469,8.156169282733956,0,0,0.20862308762169685,1.8776077885952716,1.3113451221935226,0,0,0,88.44625471885554
66,899,15655.757072983062,40,35,0,100,3471.849037191747,6.60734149054505,0.11123470522803114,0,2.8698553948832037,0.37819799777530594,0,0,0,0,90.03337041156841
67,893,15707.207740728436,40,34,1,98,3618.9739045510687,2.108995893990295,0.07465472191116089,0,1.9783501306457634,0.933184023889511,0,0,0,0,94.90481522956327
68,783,12206.56916194469,40,27,0,100,8712.216011596729,6.120444051478534,0.03929659102072895,0,0.9234698889871304,1.4637980155221535,1.0217113665389528,0,0,0,90.4312800864525
