episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
53,1101,14787.29375171674,28,19,0,96,47505.883925172864,1.963582890013408,0.0,0,0.1124518835690497,4.813805631244323,7.867306777388522,0,0,0,85.24285281778471,0,behavior_clone_8198,False,1:0.7
54,1203,17840.91313606801,28,22,0,94,30080.463013870612,1.6578923062713589,0.0,0,0.0877436039530802,3.200332502078138,5.703334256950217,0,0,0,89.35069733074718,0,behavior_clone_8198,False,1:0.7
55,1098,14856.200372736945,28,15,0,94,47590.65113954226,2.353369763205828,0.0,0,0.1056466302367941,3.646630236794172,6.284153005464481,0,0,0,87.61020036429873,0,behavior_clone_8198,False,1:0.7
56,1134,16027.2980076938,28,19,0,92,14564.638108441723,2.7168892248257324,0.0,0,0.0881834215167548,4.913076341647769,5.270009238263206,0,0,0,87.01184177374654,0,behavior_clone_8198,False,1:0.7
57,1261,18337.93429631738,28,20,0,92,44473.154516614966,1.7248215701823948,0.0,0,0.0793021411578112,3.687549563838224,5.095162569389374,0,0,0,89.4131641554322,0,behavior_clone_8198,False,1:0.7
58,1523,24751.70628762976,28,16,0,92,34597.99485765824,1.7098927555263734,0.0,0,0.0683957102210549,2.634602757715036,4.013460275771504,0,0,0,91.573648500766,0,behavior_clone_8198,False,1:0.7
59,1076,14412.349263070751,28,22,0,98,24216.066700503106,3.5161090458488227,0.0,0,0.1135894258570838,4.244114002478314,5.736266005782734,0,0,0,86.38992152003304,0,behavior_clone_8198,False,1:0.7
60,1134,15957.11141395293,28,16,0,92,54698.75176915858,1.1059670781893003,0.0,0,0.0881834215167548,3.4722222222222223,5.926660787771899,0,0,0,89.40696649029982,0,behavior_clone_8198,False,1:0.7
61,1197,17463.28275727995,28,17,0,92,75542.83226172191,1.7616505030692673,0.0,0,0.0835421888053467,2.996621989757001,4.681994842177909,0,0,0,90.47619047619048,0,behavior_clone_8198,False,1:0.7
62,1009,13270.630103456684,28,12,0,94,72147.64714147655,4.590825428288263,0.0,0,0.1380433243664165,2.9980178394449952,5.277502477700694,0,0,0,86.99561093019963,0,behavior_clone_8198,False,1:0.7
63,957,12273.152628875265,28,11,0,92,20326.747770992337,1.9421323820848195,0.0,0,0.1044932079414838,2.8717616113573303,5.621013944438439,0,0,0,89.46059885417793,0,behavior_clone_8198,False,1:0.7
64,1196,17663.070333226216,28,22,0,98,25802.789633576256,1.9788182831661087,0.0,0,0.171869193608324,2.4572649572649574,4.259568933481977,0,0,0,91.1324786324786,0,behavior_clone_8198,False,1:0.7
65,1186,16298.498955529638,28,24,0,98,61870.06379917696,2.69287521079258,0.0,0,0.0843170320404721,2.9089376053962903,5.159148397976392,0,0,0,89.15472175379425,0,behavior_clone_8198,False,1:0.7
66,1467,23666.147877797222,28,14,0,94,34483.074998336844,1.6674532011955323,0.0,0,0.0812752346494677,2.2783283519479838,4.438676524566096,0,0,0,91.53426668764092,0,behavior_clone_8198,False,1:0.7
67,1243,18316.081980819305,28,19,0,92,42918.240517566024,4.478412443014213,0.0,0,0.080450522928399,2.1300233689614214,3.965061487185381,0,0,0,89.34605217791058,0,behavior_clone_8198,False,1:0.7
68,1249,18211.44610239465,28,18,0,92,61579.95653681314,1.230074969066162,0.0,0,0.0800640512409927,2.609360215445084,5.109542179197903,0,0,0,90.97095858504986,0,behavior_clone_8198,False,1:0.7
69,1088,15070.028298037098,28,15,0,98,31475.879744707785,1.4963235294117647,0.0,0,0.0919117647058823,5.095588235294118,5.742647058823532,0,0,0,87.5735294117647,0,behavior_clone_8198,False,1:0.7
70,1306,19697.32273367316,28,19,0,92,52396.495623638715,1.1922992780573178,0.0,0,0.0765696784073507,3.580544009334208,6.687085247575293,0,0,0,88.46350178662583,0,behavior_clone_8198,False,1:0.7
71,1236,18335.275650826385,28,13,0,92,26212.873743873002,1.7979144192736425,0.0,0,0.1048783411242957,2.768788205681409,4.91429941268129,0,0,0,90.41411962123937,0,behavior_clone_8198,False,1:0.7
72,1140,16279.51037006788,28,17,0,92,37700.11226836148,1.0335621662852783,0.0,0,0.087719298245614,3.9244851258581233,5.736079328756674,0,0,0,89.2181540808543,0,behavior_clone_8198,False,1:0.7
73,1114,14898.288675318932,28,25,0,96,50458.36657139139,1.8731298623578696,0.0,0,0.0897666068222621,4.236983842010772,7.809694793536805,0,0,0,85.99042489527228,0,behavior_clone_8198,False,1:0.7
74,1084,14655.072423509522,28,21,0,94,15256.388239514345,2.044086230335988,0.0,0,0.092250922509225,3.5006797436395414,6.146824626140998,0,0,0,88.21615847737425,0,behavior_clone_8198,False,1:0.7
75,1142,15958.66567702066,28,16,0,96,60313.87292277292,2.218330414477525,0.0,0,0.1276999416228838,3.9404553415061296,5.90703444249854,0,0,0,87.80647985989492,0,behavior_clone_8198,False,1:0.7
76,1144,16236.23408391428,28,15,0,94,50860.40272321775,1.8391608391608396,0.0,0,0.0874125874125874,2.506993006993006,5.8531468531468525,0,0,0,89.71328671328672,0,behavior_clone_8198,False,1:0.7
77,1198,17588.03123759215,28,18,0,98,60003.37294312361,1.6277128547579296,0.0,0,0.0834724540901502,3.1833358628016395,5.330854454393686,0,0,0,89.77462437395661,0,behavior_clone_8198,False,1:0.7
78,1315,20242.444237196825,28,10,0,92,59781.05763586279,2.623574144486692,0.7680608365019012,0,0.1343472750316857,2.709759188846641,5.110266159695817,0,0,0,88.65399239543727,0,behavior_clone_8198,False,1:0.7
79,1491,23993.01305278659,28,17,0,94,77357.90448736346,1.6504826057796054,0.0,0,0.1166418802671099,2.554457177849707,4.630682646604264,0,0,0,91.04773568949932,0,behavior_clone_8198,False,1:0.7
80,1131,16281.17114472686,28,14,0,96,54420.29864163071,2.122015915119364,0.0,0,0.1666326600013602,2.275045908998164,4.655512480446168,0,0,0,90.78079303543495,0,behavior_clone_8198,False,1:0.7
81,1135,15769.221559187465,28,19,0,92,38819.391813042384,1.5061883784350745,0.0,0,0.0881057268722466,3.050136354101112,5.349276274386406,0,0,0,90.00629326620515,0,behavior_clone_8198,False,1:0.7
82,1203,17474.08333433843,28,21,0,98,50363.85636942842,2.310014437590235,0.0,0,0.1487509296933106,3.946274664216652,6.055037843986525,0,0,0,87.5399221245133,0,behavior_clone_8198,False,1:0.7
