episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
43,1973,38628.262377095416,40,26,6,88,2950.776073153012,0.937658388241257,46.629498226051695,0,3.573238722757223,1.7486061834769389,5.1951343132285865,0,0,0,41.9158641662443,0,behavior_clone_32768,False,0.7:1
44,1581,36662.16678976376,40,23,0,98,7012.125404499628,3.896268184693232,0.0,0,2.1758380771663504,1.4041745730550286,2.0999367488931058,0,0,0,90.42378241619228,0,behavior_clone_32768,False,0.7:1
45,1681,31335.48019409773,40,25,5,90,5311.154208304948,13.107277414237556,29.704540947848503,0,10.13285742613524,0.7336902637319056,3.351179853261947,0,0,0,42.970454094784856,0,behavior_clone_32768,False,0.7:1
46,1562,34453.30156804343,40,24,0,100,8102.070751084463,12.14788732394366,0.1600512163892445,0,7.378361075544173,0.7682458386683738,1.7445582586427657,0,0,0,77.80089628681178,0,behavior_clone_32768,False,0.7:1
47,1049,19964.071665807027,40,20,1,98,10898.053661797636,22.67635843660629,0.0834127740705433,0,8.567683508102954,0.4170638703527168,1.9780743565300287,0,0,0,66.27740705433746,0,behavior_clone_32768,False,0.7:1
48,1348,30135.65745984896,40,18,0,100,12732.620724106326,4.844213649851632,0.0,0,0.8753709198813058,2.403560830860534,3.850148367952522,0,0,0,88.026706231454,0,behavior_clone_32768,False,0.7:1
49,1818,13286.631004824649,40,26,15,70,2495.364849743371,3.4378437843784377,58.71837183718373,0,5.858085808580858,0.99009900990099,0.44004400440044,0,0,0,30.55555555555556,0,behavior_clone_32768,False,0.7:1
50,1663,39723.592060135736,40,22,0,98,8974.38589452603,6.133493686109441,0.0,0,3.928643014632191,1.1124473842453395,1.723792343154941,0,0,0,87.10162357185808,0,behavior_clone_32768,False,0.7:1
51,1960,38965.93927152531,40,24,5,90,7214.996455804543,10.994897959183676,0.0,0,4.323979591836735,1.2244897959183674,1.9260204081632653,0,0,0,81.53061224489795,0,behavior_clone_32768,False,0.7:1
52,1560,36277.92711648185,40,23,0,100,7616.193782982699,4.089743589743589,0.0,0,2.474358974358974,2.333333333333333,3.858974358974359,0,0,0,87.24358974358974,0,behavior_clone_32768,False,0.7:1
53,1545,35228.75319704152,40,25,0,100,6211.121159163762,6.515641855447681,0.0,0,3.969795037756203,1.1434735706580366,2.006472491909385,0,0,0,86.3646170442287,0,behavior_clone_32768,False,0.7:1
54,1497,33354.27781681659,40,19,1,98,11550.028092366134,11.103688859199885,0.0,0,4.067394047353967,1.2617828249090772,2.7536554590662803,0,0,0,80.8134788094708,0,behavior_clone_32768,False,0.7:1
