episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
33,3420,81409.81894928635,40,26,6,88,2005.2217884389568,6.125730994152047,71.33040935672514,0,3.2748538011695905,0.39473684210526316,0.45321637426900585,0,0,0,18.42105263157895
34,3420,72617.00888560747,40,26,10,80,2548.4487722552376,7.105263157894736,67.03216374269005,0,3.172514619883041,0.43859649122807015,1.0672514619883042,0,0,0,21.184210526315788
35,2382,61767.04071741318,40,21,1,98,8151.273730112704,2.5788652992683216,0,0,1.5353244572388152,0.5037783375314862,0.7076886170085163,0,0,0,94.67434328895287
36,3420,80308.94647610313,40,26,8,84,1907.7536850627826,5.497076023391813,74.94152046783626,0,2.0321637426900585,0.2046783625730994,0.21929824561403508,0,0,0,17.105263157894736
37,3365,82339.7217360924,40,23,4,92,5654.022403998298,2.6745913818722142,0,0,1.735512630014859,0.41604754829123325,0.2615156017830609,0,0,0,94.91233283803862
38,3420,86447.61228111133,40,26,4,92,2147.2719843636223,1.4035087719298245,41.271929824561404,0,2.5,0.23391812865497078,0,0,0,0,54.590643274853804
39,2963,74842.34614570126,40,26,3,94,3016.567697618473,9.0617617279784,39.841376982787715,0,3.0712116098548767,0.38812014849814375,0.8099898751265608,0,0,0,46.82753965575431
40,2914,78560.20897147055,40,23,1,98,5879.759153445945,6.170212765957446,0,0,2.5669183253260126,0.24708304735758407,0.5971173644474949,0,0,0,90.41866849691147
41,3420,82327.04988056302,40,26,7,86,1788.2179965704981,0.24853801169590645,62.441520467836256,0,2.616959064327485,0.39473684210526316,0,0,0,0,34.29824561403509
42,2357,57505.289506071684,40,21,2,96,8694.90778682583,3.8244742105582157,0,0,1.3091702527425906,0.41214619067822295,0.5636705254863932,0,0,0,93.89053882053459
43,3420,84774.21598195573,40,26,5,90,2111.926875765341,1.7543859649122806,48.260233918128655,0,3.1432748538011697,0.23391812865497078,0.058479532163742694,0,0,0,46.54970760233918
44,2879,78553.4069681852,40,23,0,100,6091.388116508692,5.738103508162556,0,0,2.7162209100382078,0.2987148315387287,0.7572073636679402,0,0,0,90.48975338659258
