episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
34,897,16236.43682506435,40,26,1,98,10435.245266022395,11.61012900143335,0.0318522057652492,0,1.0590858416945368,0.6529702181876096,0.3185220576524924,0,0,0,86.32744067526674,behavior_clone_32768,True,1:1
35,719,10131.8104504202,40,28,0,98,9610.44518540537,11.103384330088083,0.0,0,1.5762633286972647,1.5530829856281874,0.278164116828929,0,0,0,85.48910523875753,behavior_clone_32768,True,1:1
36,806,12742.457726823784,40,28,0,100,9567.146293136757,15.374276261373035,0.0,0,5.086848635235732,1.447477253928867,0.7857733664185277,0,0,0,77.30562448304384,behavior_clone_32768,True,1:1
37,735,10700.700958491014,40,27,0,100,7224.6856669000035,10.162218733647306,0.0,0,1.4965986394557822,1.4965986394557822,0.303506017791732,0,0,0,86.5410779696494,behavior_clone_32768,True,1:1
38,736,10500.677118002724,40,27,0,100,11617.666344755691,17.088210702341133,0.1881270903010033,0,1.5050167224080266,1.484113712374582,1.4736622073578594,0,0,0,78.26086956521739,behavior_clone_32768,True,1:1
39,856,12222.838647621393,40,33,1,98,7460.722336655151,10.547396528704942,0.7343124165554071,0,3.371161548731642,3.7049399198931914,1.1014686248331107,0,0,0,80.5407209612817,behavior_clone_32768,True,1:1
40,783,12324.151147007322,40,26,0,100,9418.024672773414,9.414340448823204,0.0,0,2.5451559934318544,0.8848750228060573,0.1733260353950009,0,0,0,86.98230249954388,behavior_clone_32768,True,1:1
41,726,10415.603165017104,40,23,0,100,12615.02237357829,15.20823205315184,0.0162048290390536,0,0.6157835034840383,1.6042780748663104,1.523253929671042,0,0,0,81.03224760978772,behavior_clone_32768,True,1:1
42,838,13788.67635027242,40,34,0,100,3937.215264426058,0.5171042163882259,0.0,0,1.690533015115354,1.173428798727128,0.0198886237072394,0,0,0,96.59904534606204,behavior_clone_32768,True,1:1
43,738,10730.720518412449,40,24,0,100,10690.485941738623,13.88042005420054,0.0254065040650406,0,1.219512195121951,1.016260162601626,0.7706639566395664,0,0,0,83.08773712737127,behavior_clone_32768,True,1:1
44,752,11076.228532913585,40,29,0,100,8245.674264205454,16.32011605415861,0.4352030947775628,0,2.6958413926499034,1.2209864603481626,0.1934235976789168,0,0,0,79.13442940038684,behavior_clone_32768,True,1:1
45,741,10886.546221532131,40,27,0,100,9093.497694214944,8.82383473476591,0.0207619640818021,0,0.9550503477628984,1.4637184677670507,0.9550503477628982,0,0,0,87.78158413785944,behavior_clone_32768,True,1:1
46,906,16493.770412063026,40,23,0,100,14684.65207932994,13.01129723412544,0.025970653161927,0,2.66199194909752,0.5323983898195039,0.5129203999480587,0,0,0,83.25542137384755,behavior_clone_32768,True,1:1
47,717,10169.583444196063,40,24,0,100,10748.592236008508,11.20118549511855,0.0,0,0.6101813110181309,1.603905160390516,2.7806834030683403,0,0,0,83.80404463040448,behavior_clone_32768,True,1:1
48,909,13736.585060648224,40,35,2,94,4162.38655084691,14.477447744774476,16.58965896589659,0,6.27062706270627,3.19031903190319,1.76017601760176,0,0,0,57.71177117711772,behavior_clone_32768,True,1:1
49,799,12718.787870400614,40,25,0,100,12067.511192269629,14.835210680016688,0.0166875260742594,0,3.4125990821860657,0.7843137254901962,0.4672507300792657,0,0,0,80.48393825615352,behavior_clone_32768,True,1:1
50,778,12250.877271145971,40,25,0,98,10110.374156953987,10.06855184233076,0.0085689802913453,0,1.2510711225364184,1.9365895458440447,1.765209940017138,0,0,0,84.9700085689803,behavior_clone_32768,True,1:1
51,731,10618.883329295544,40,23,0,100,10851.543428302466,15.578981250502936,0.0,0,1.0219682948418765,1.4082240283254206,0.957592339261286,0,0,0,81.03323408706848,behavior_clone_32768,True,1:1
52,722,10220.455749274144,40,21,0,100,12147.068848798448,17.53171016183117,0.0,0,1.151771395247121,0.6925207756232687,1.239247703746902,0,0,0,79.38474996355154,behavior_clone_32768,True,1:1
53,793,10210.389848096183,40,34,1,96,5984.304684519887,7.12484237074401,0.5674653215636822,0,2.921395544346364,1.5342580916351407,0.0,0,0,0,87.8520386717108,behavior_clone_32768,True,1:1
54,722,10371.417877511223,40,26,0,98,8859.752752993658,9.180846853977048,0.0,0,0.8508112386228729,2.1171349426197072,1.2267510882469332,0,0,0,86.62445587653345,behavior_clone_32768,True,1:1
55,767,11707.695605576868,40,27,0,100,8691.81692919369,11.252632634640458,0.060174506067596,0,1.624711663825093,1.123257446595126,0.9327048440477383,0,0,0,85.00651890482399,behavior_clone_32768,True,1:1
56,716,10294.560707525625,40,22,0,100,11122.819420509106,8.488516449410303,0.0,0,0.2715704531346989,0.7138423339540658,0.8690254500310367,0,0,0,89.65704531346988,behavior_clone_32768,True,1:1
57,746,10899.354985868544,40,29,0,100,6313.371506681578,15.54959785522788,0.2680965147453082,0,0.8895929807457956,1.7791859614915913,0.9139653911771872,0,0,0,80.59956129661222,behavior_clone_32768,True,1:1
58,718,10235.542782404002,40,24,0,100,9946.028922301408,13.135445682451254,0.0,0,0.8095403899721446,0.7747214484679665,0.1479805013927576,0,0,0,85.13231197771589,behavior_clone_32768,True,1:1
